ID,contestId,index,OK,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,IDLENESS_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,SKIPPED,TESTING,PRESENTATION_ERROR,FAILED,CRASHED,CHALLENGED,REJECTED,PARTIAL,SECURITY_VIOLATED,INPUT_PREPARATION_CRASHED
101464,1691,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101464,1691,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101464,1691,C,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101464,1691,C,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99366,1656,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99366,1656,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99366,1656,D,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99366,1656,D,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101408,1690,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99366,1656,D,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101408,1690,E,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101410,1690,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101410,1690,F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101406,1690,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101406,1690,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101404,1690,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101402,1690,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101400,1690,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101400,1690,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100386,1673,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100386,1673,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
